#YY	XX	wav	flux		flux_err	fwhm		vel
164	147	6579.90	0.27673996	581.82590	433.79143	0.0000000
165	147	6578.00	0.11051490	499.45287	454.37034	0.0000000
166	147	6577.20	0.066711948	551.18706	-444.43423	0.0000000	
167	147	6577.20	0.029929902	638.70216	448.72286	0.0000000
168	147	6577.20	0.0058768039	765.31306	456.11604	0.0000000
169	147	0.0	0.0		0.0		0.0		0.0
170	147	6577.40	1.1790847e-08	540.00864	466.29450	0.0000000
171	147	6577.40	0.0056620867	765.24267	469.83937	0.0000000
172	147	6577.40	0.023850777	878.46655	460.99177	0.0000000
173	147	6577.60	0.023591510	761.79720	483.47058	0.0000000
174	147	6578.40	7.6116364e-09	526.08557	454.39882	0.0000000
148	148	6579.20	0.42409208	345.73126	453.56659	0.0000000
149	148	6579.30	0.46486389	350.57854	451.60071	0.0000000
150	148	6579.30	0.33782762	407.16667	447.71996	0.0000000
151	148	0.0	0.0		0.0		0.0		0.0
152	148	0.0	0.0		0.0		0.0		0.0
153	148	0.0	0.0		0.0		0.0		0.0
154	148	6579.80	0.16607452	506.50406	455.79382	0.0000000
155	148	6580.20	2.6500404e-08	119.26754	453.42720	0.0000000
156	148	6580.60	3.5351612e-08	229.75819	427.89108	0.0000000
157	148	6580.60	9.8781595e-09	94.509546	438.08444	0.0000000
158	148	6580.80	0.016789920	518.26342	412.06934	0.0000000
159	148	6579.20	0.25233997	331.84974	406.61027	0.0000000
160	148	6579.20	0.13103381	419.40638	-428.61704	0.0000000
161	148	6579.30	0.18089367	351.70545	366.89048	0.0000000
162	148	6580.30	0.73130765	374.90073	-354.01736	0.0000000
163	148	6580.00	0.44569432	522.41587	429.29091	0.0000000
164	148	6580.00	0.31652942	644.94865	434.32834	0.0000000
165	148	6581.00	0.44400763	1061.3964	364.50619	0.0000000
166	148	6581.20	0.055659146	206.00284	83.062671	0.0000000
167	148	6580.20	0.11060582	964.90480	466.80489	0.0000000
168	148	6581.20	0.044137899	200.63363	79.718775	0.0000000
169	148	6581.20	0.034014999	174.36533	68.449493	0.0000000
170	148	6581.30	0.030177588	152.86313	66.859826	0.0000000
171	148	6581.20	0.034380194	146.37984	68.949182	0.0000000
172	148	6581.20	0.052347695	179.71303	78.263476	0.0000000








